year;hare;lynx;nao;soi (MONTHLY);;;;;;;;;;;;
1845;28000;;;;;;;;;;;;;;;
1846;25000;;;;;;;;;;;;;;;
1847;25000;;;;;;;;;;;;;;;
1848;25000;;;;;;;;;;;;;;;
1849;12000;;;;;;;;;;;;;;;
1850;26000;;;;;;;;;;;;;;;
1851;53000;;;;;;;;;;;;;;;
1852;80000;2174;;;;;;;;;;;;;;
1853;80000;2106;;;;;;;;;;;;;;
1854;90000;3021;;;;;;;;;;;;;;
1855;69000;4754;;;;;;;;;;;;;;
1856;81000;7324;;;;;;;;;;;;;;
1857;95000;8197;;;;;;;;;;;;;;
1858;71000;6913;;;;;;;;;;;;;;
1859;28000;4772;;;;;;;;;;;;;;
1860;18000;2383;;;;;;;;;;;;;;
1861;19000;1540;;;;;;;;;;;;;;
1862;40000;1508;;;;;;;;;;;;;;
1863;5000;;;;;;;;;;;;;;;
1864;152000;;-1.02;;;;;;;;;;;;;
1865;145000;;-1.24;;;;;;;;;;;;;
1866;105000;;0.54;7.2;6.3;8.3;9.7;10.7;13.1;13.1;13.0;11.8;10.6;8.7;7.8;
1867;45000;;-1.38;7.4;6.4;8.7;9.7;10.7;12.4;12.8;12.4;11.3;9.6;10.5;7.9;
1868;22000;;2.81;6.0;6.9;8.4;10.2;12.4;13.7;13.4;13.5;12.5;11.3;10.5;7.7;
1869;2000;;1.70;7.7;7.4;9.7;6.8;9.3;11.0;12.5;11.3;11.5;9.1;7.8;6.1;
1870;3000;;-3.01;3.9;5.2;8.9;10.0;11.8;13.3;12.7;11.6;11.7;11.0;9.4;8.9;
1871;8000;;-1.01;6.9;7.1;9.5;9.6;11.2;12.4;13.0;12.7;11.6;10.1;8.2;7.2;
1872;7000;;-0.76;3.2;5.0;5.6;11.7;10.1;10.0;10.9;11.5;9.9;9.0;7.2;4.6;
1873;62000;;-0.50;3.7;7.3;8.5;10.1;13.1;16.7;15.3;13.6;15.0;11.0;8.9;5.0;
1874;50000;;2.32;5.9;8.2;9.4;9.4;10.2;13.4;13.2;12.9;10.8;8.6;8.7;4.9;
1875;51000;;-1.35;6.0;6.4;9.6;9.4;10.6;11.0;12.8;12.9;10.5;7.6;9.0;6.8;
1876;105000;;0.21;4.8;5.3;6.4;8.2;10.9;12.1;14.3;12.8;11.6;11.0;8.6;8.8;
1877;88000;;0.05;6.8;7.7;7.4;10.9;11.1;14.9;14.8;13.9;13.8;12.6;10.3;8.7;
1878;64000;;1.46;6.8;9.3;8.3;9.7;10.6;12.4;11.7;13.1;10.2;9.2;8.2;5.1;
1879;19000;;-2.22;5.1;5.3;7.0;9.3;10.6;11.9;11.7;11.6;11.1;9.9;7.7;6.8;
1880;10000;;0.89;4.3;6.8;6.7;10.0;10.3;12.4;14.1;13.0;12.5;11.6;9.8;8.2;
1881;16000;;-3.80;6.9;7.3;9.2;11.3;10.9;12.5;14.3;14.1;13.1;12.7;7.8;6.5;
1882;15000;;3.87;6.4;6.3;7.5;8.5;9.4;12.3;13.1;13.2;11.8;9.4;9.5;5.8;
1883;15000;;-0.23;7.3;6.6;9.2;8.4;10.5;12.4;13.0;11.7;11.9;10.2;7.2;6.9;
1884;45000;;1.44;7.3;7.6;7.5;11.0;11.2;12.4;13.2;12.6;12.0;10.9;9.0;7.4;
1885;54000;;-0.89;7.3;6.4;8.4;10.5;12.7;13.4;14.1;13.2;13.1;12.6;11.1;7.0;
1886;138000;;-1.12;7.9;5.8;8.4;9.3;10.3;12.3;11.7;11.1;10.7;9.7;8.1;4.4;
1887;139000;;0.45;5.6;4.8;7.1;8.6;10.8;12.5;13.6;12.6;12.1;11.0;9.4;8.0;
1888;95000;;-2.75;5.5;6.9;9.7;10.4;11.2;13.1;13.7;13.4;12.6;12.0;9.9;8.8;
1889;38000;;-0.01;9.0;8.4;10.2;10.1;11.1;11.1;12.8;13.0;10.9;10.2;5.8;4.4;
1890;25000;;1.78;4.1;6.3;6.8;8.6;10.8;11.3;12.6;12.2;10.6;9.7;9.2;7.5;
